channelID	time	energy	tot
343	667370946230	4.55149	303770
46	667370947118	3.36575	302882
349	667488941488	5.17248	303511
35	667488941672	7.34415	298328
349	667553823408	10.1794	301591
35	667553825705	3.60752	304295
342	667663896184	5.34093	303816
47	667663907462	1.88879	302537
342	668057681374	3.95567	303625
47	668057683510	2.12513	306489
47	668079827414	1.38905	302585
342	668079826497	1.89613	303503
342	668129993374	8.26744	301625
47	668129994845	3.58519	300155
47	668163425273	1.35931	304726
342	668163431457	1.39669	303542
46	668243367356	2.37345	302643
343	668243364421	4.50459	300578
349	668253501452	7.22144	303547
35	668253503260	3.894	301740
47	668343569969	4.75986	300031
342	668343569170	4.06818	300830
342	668601031088	6.76213	303911
47	668601033476	3.52797	301524
35	668618516792	2.28302	303208
349	668618516864	2.61587	303135
349	668716227110	5.12969	302889
35	668716229966	1.50795	305034
35	668793595525	6.3596	299474
349	668793595476	3.82569	304524
349	668864475774	2.83446	304226
35	668864475477	3.67255	299522
35	668946859424	2.71058	305575
349	668946858116	2.56116	301883
47	669050423193	3.66407	301807
342	669050431426	1.46262	303574
343	669091036956	2.29749	303043
46	669091039674	1.6063	305325
342	669153270512	3.31246	304487
47	669153278087	1.40055	301913
47	669164125804	6.36021	299195
342	669164131276	2.08543	303724
47	669225779101	4.46024	300899
342	669225778820	4.04697	301179
46	669288028375	6.06778	301625
343	669288028130	5.07953	301869
343	669297890944	1.47155	304056
46	669297893904	1.67287	306095
342	669302564546	3.60026	305453
47	669302564659	5.30547	300340
342	669371457800	3.06675	302199
47	669371465193	1.8459	304807
349	669404196483	7.86988	303517
35	669404195857	30.0283	299142
33	669404198095	1.93866	306904
342	669435571432	2.58455	303567
47	669435575743	1.46267	304256
45	669586507458	1.51373	302542
349	669586506126	4.72203	303874
47	669586505746	8.72001	299254
35	669586505359	17.5023	299641
47	669802100823	4.71893	299177
342	669802111427	2.09235	303573
342	669805631058	2.95146	303942
47	669805630357	14.8769	299643
35	669805638383	1.16155	306617
47	670060274530	8.97457	300470
342	670060276843	2.64459	303157
46	670100477579	15.697	297421
343	670100482102	1.87008	302898
342	670133958628	4.64258	301372
47	670133958899	3.81829	301100
46	670345566039	2.47739	303960
343	670345566519	1.60258	303480
47	670459478606	3.35045	301394
342	670459477415	4.63723	302585
35	670488667449	3.28532	302550
349	670488669560	1.72864	305439
47	670726951295	14.6494	298704
342	670726955088	2.52912	304912
35	670726954770	1.66209	305229
45	670726953177	1.89459	301822
349	670826442719	3.43728	302281
342	670826442610	5.17268	302390
35	670826449031	1.31994	305968
47	670826453677	1.12677	306322
35	670873690337	4.37603	299663
349	670873703444	1.62782	306555
46	670902035776	4.18776	304224
343	670902035110	4.48001	304890
342	670918431838	2.71153	303162
47	670918432051	2.73503	302948
35	671037267297	2.8149	302703
349	671037265834	4.7466	304165
46	671217129257	11.3991	300742
343	671217139265	1.59967	305734
35	671250582460	7.79618	302540
349	671250592902	1.24071	307097
342	671320753203	3.38684	301796
47	671320755715	2.15656	304284
343	671403040873	3.47058	304127
46	671403052023	1.08487	302977
342	671469298853	3.76975	301146
47	671469308357	1.26592	306643
343	671524715566	7.98845	299434
46	671524731547	1.46793	303453
35	671566257246	19.5695	297754
349	671566257872	5.66907	302128
33	671566260128	0.63855	304871
342	671717113788	5.3877	301211
47	671717126193	1.35017	303806
46	671722932711	18.7661	297289
343	671722933121	6.3249	301879
342	671818126708	4.3353	303291
343	671818130888	2.32887	304111
47	671818133236	1.97204	306763
46	671818138151	0.87249	306849
47	671859649319	7.61034	300680
342	671859648524	8.23954	301476
46	672024995055	10.5376	299945
343	672024995791	2.38482	304209
35	672081415393	3.1247	304606
349	672081413813	4.93507	301186
47	672215444967	2.0066	305032
342	672215451202	1.34529	303798
342	672275385001	5.8671	299998
47	672275385259	7.27644	299741
47	672366570628	2.45198	304371
35	672366569394	4.80901	300606
349	672366578053	1.84848	306946
349	672390609439	4.42112	300561
35	672390609787	3.82663	300212
343	672526303226	9.05587	301774
46	672526305296	2.06915	304703
46	672607955379	2.19384	304621
343	672607963598	1.23743	306402
343	672615328658	4.11838	301341
46	672615329451	3.9591	305549
47	672682720598	18.5554	299402
342	672682721426	6.18719	303574
